Date,Item,Price,Quantity,Mode of Payment
04-01-2022,eggs,2.19,1,Debit Card
07-01-2022,eggs,2.19,2,Cash
07-01-2022,bread,2.99,3,Cash
07-01-2022,rice,5.99,1,Cash
08-01-2022,yogurt,1.99,1,Cash
08-01-2022,granola bars,3.29,2,Cash
09-01-2022,mushrooms,2.49,2,Debit Card
10-01-2022,sauerkraut,3.49,2,Credit Card
11-01-2022,milk,3.49,2,Credit Card
11-01-2022,bread,2.99,2,Credit Card
11-01-2022,orange juice,3.99,5,Credit Card
12-01-2022,eggs,2.19,3,Cash
12-01-2022,rice,5.99,1,Cash
12-01-2022,pasta,1.79,2,Cash
13-01-2022,yogurt,1.99,4,Credit Card
13-01-2022,soup,2.99,1,Credit Card
13-01-2022,ketchup,1.99,4,Credit Card
13-01-2022,lettuce,1.29,4,Credit Card
14-01-2022,celery,1.29,2,Credit Card
14-01-2022,tomatoes,2.69,5,Credit Card
14-01-2022,tortilla chips,3.49,1,Credit Card
14-01-2022,avocado,1.99,3,Credit Card
14-01-2022,tuna,4.99,4,Credit Card
14-01-2022,milk,3.49,1,Credit Card
15-01-2022,bacon,4.49,2,Credit Card
15-01-2022,rice,5.99,1,Credit Card
16-01-2022,soda,1.99,5,Debit Card
16-01-2022,waffle mix,3.29,2,Debit Card
16-01-2022,bread,2.99,3,Debit Card
16-01-2022,guacamole,4.99,2,Debit Card
16-01-2022,apples,1.79,5,Debit Card
16-01-2022,pickles,2.99,2,Debit Card
17-01-2022,salsa,2.99,5,Cash
17-01-2022,milk,3.49,1,Cash
17-01-2022,pasta,1.79,1,Cash
17-01-2022,eggs,2.19,3,Cash
17-01-2022,fish,9.99,1,Cash
18-01-2022,yogurt,1.99,5,Cash
18-01-2022,spaghetti sauce,2.49,1,Cash
18-01-2022,rice,5.99,2,Cash
18-01-2022,bell peppers,0.99,4,Cash
18-01-2022,pancake mix,2.99,2,Cash
18-01-2022,onions,0.99,4,Cash
18-01-2022,lobster,14.99,4,Cash
19-01-2022,mushrooms,2.49,3,Credit Card
19-01-2022,popcorn kernels,0.99,3,Credit Card
19-01-2022,ham,6.99,4,Credit Card
19-01-2022,tea,3.49,5,Credit Card
19-01-2022,mustard,1.49,2,Credit Card
20-01-2022,milk,3.49,3,Credit Card
20-01-2022,tortillas,2.49,5,Credit Card
20-01-2022,crackers,1.99,5,Credit Card
20-01-2022,fruits,2.49,2,Credit Card
20-01-2022,vinegar,1.99,3,Credit Card
21-01-2022,eggs,2.19,3,Debit Card
21-01-2022,coffee,5.99,4,Debit Card
21-01-2022,bread,2.99,2,Debit Card
21-01-2022,canned beans,1.79,5,Debit Card
21-01-2022,bread rolls,1.99,4,Debit Card
21-01-2022,cheese,4.99,3,Debit Card
21-01-2022,mayonnaise,2.79,5,Debit Card
21-01-2022,rice,5.99,1,Debit Card
21-01-2022,bananas,0.69,1,Debit Card
22-01-2022,zucchini,1.49,5,Debit Card
22-01-2022,orange juice,3.99,4,Debit Card
22-01-2022,chips,2.99,3,Debit Card
22-01-2022,ketchup,1.99,3,Debit Card
22-01-2022,honey,4.99,3,Debit Card
22-01-2022,teriyaki sauce,3.49,3,Debit Card
22-01-2022,pasta,1.79,4,Debit Card
22-01-2022,dried spices,2.99,4,Debit Card
22-01-2022,olive oil,6.99,4,Debit Card
22-01-2022,cake,7.99,4,Debit Card
23-01-2022,apples,1.79,4,Debit Card
23-01-2022,frozen waffles,2.99,5,Debit Card
23-01-2022,barbecue sauce,3.49,4,Debit Card
23-01-2022,yogurt,1.99,5,Debit Card
23-01-2022,salmon,9.99,2,Debit Card
23-01-2022,water,0.99,1,Debit Card
23-01-2022,maple syrup,5.49,3,Debit Card
23-01-2022,pretzels,1.99,1,Debit Card
23-01-2022,milk,3.49,2,Debit Card
23-01-2022,popcorn,1.99,3,Debit Card
23-01-2022,vegetables,1.99,5,Debit Card
24-01-2022,chicken,6.99,4,Cash
24-01-2022,ice pops,2.49,1,Cash
24-01-2022,granola bars,3.29,5,Cash
24-01-2022,beef,8.99,4,Cash
24-01-2022,eggs,2.19,2,Cash
25-01-2022,crab,10.99,3,Cash
25-01-2022,carrots,0.99,5,Cash
25-01-2022,bread,2.99,5,Cash
25-01-2022,potatoes,1.49,5,Cash
25-01-2022,ice cream,4.49,4,Cash
25-01-2022,dried herbs,3.49,2,Cash
25-01-2022,salad dressing,2.99,5,Cash
25-01-2022,frozen vegetables,2.29,1,Cash
25-01-2022,shrimp,8.99,4,Cash
25-01-2022,waffle mix,3.29,1,Cash
25-01-2022,cookies,2.49,4,Cash
25-01-2022,frozen burritos,3.49,5,Cash
25-01-2022,pasta,1.79,2,Cash
25-01-2022,frozen pancakes,2.49,4,Cash
26-01-2022,spaghetti sauce,2.49,5,Cash
26-01-2022,frozen meals,5.49,3,Cash
26-01-2022,sausages,5.99,1,Cash
26-01-2022,mustard,1.49,1,Cash
26-01-2022,rice,5.99,5,Cash
26-01-2022,muffins,4.49,3,Cash
27-01-2022,tortilla chips,3.49,1,Credit Card
27-01-2022,avocado,1.99,3,Credit Card
27-01-2022,bacon,4.49,4,Credit Card
27-01-2022,pancake mix,2.99,3,Credit Card
27-01-2022,yogurt,1.99,5,Credit Card
27-01-2022,eggs,2.19,5,Credit Card
27-01-2022,lettuce,1.29,5,Credit Card
27-01-2022,soda,1.99,5,Credit Card
27-01-2022,frozen fruits,3.99,3,Credit Card
27-01-2022,jelly,2.49,2,Credit Card
27-01-2022,frozen breakfast sandwiches,3.99,1,Credit Card
27-01-2022,tomatoes,2.69,3,Credit Card
28-01-2022,milk,3.49,4,Debit Card
28-01-2022,steak sauce,4.99,4,Debit Card
28-01-2022,instant noodles,0.99,1,Debit Card
28-01-2022,bread,2.99,5,Debit Card
29-01-2022,zucchini,1.49,5,Cash
29-01-2022,coffee,5.99,4,Cash
29-01-2022,celery,1.29,5,Cash
29-01-2022,tea,3.49,2,Cash
29-01-2022,taco seasoning,1.49,3,Cash
29-01-2022,tortillas,2.49,3,Cash
29-01-2022,nutmeg,3.49,4,Cash
29-01-2022,frozen chicken nuggets,4.99,2,Cash
29-01-2022,sauerkraut,3.49,5,Cash
29-01-2022,canned beans,1.79,3,Cash
30-01-2022,pasta,1.79,3,Debit Card
30-01-2022,pretzels,1.99,4,Debit Card
30-01-2022,eggs,2.19,5,Debit Card
30-01-2022,frozen appetizers,4.49,2,Debit Card
30-01-2022,frozen breaded shrimp,8.99,3,Debit Card
30-01-2022,frozen fries,2.99,4,Debit Card
30-01-2022,hot sauce,2.99,2,Debit Card
30-01-2022,lobster,14.99,3,Debit Card
30-01-2022,cheese,4.99,1,Debit Card
30-01-2022,rice,5.99,2,Debit Card
30-01-2022,salsa,2.99,5,Debit Card
31-01-2022,frozen fruit bars,2.99,2,Cash
31-01-2022,garlic powder,1.99,1,Cash
31-01-2022,honey,4.99,5,Cash
31-01-2022,frozen pot pies,3.99,5,Cash
31-01-2022,bread,2.99,5,Cash
31-01-2022,dried fruits,4.99,4,Cash
31-01-2022,soup,2.99,3,Cash
01-02-2022,yogurt,1.99,5,Credit Card
01-02-2022,pickle relish,1.99,3,Credit Card
01-02-2022,vinegar,1.99,1,Credit Card
01-02-2022,vanilla extract,4.99,1,Credit Card
01-02-2022,fish,9.99,5,Credit Card
01-02-2022,frozen pizza,4.99,4,Credit Card
01-02-2022,bread rolls,1.99,1,Credit Card
01-02-2022,frozen entrees,4.99,3,Credit Card
01-02-2022,waffle mix,3.29,1,Credit Card
01-02-2022,cooking spray,3.99,3,Credit Card
01-02-2022,salmon,9.99,3,Credit Card
01-02-2022,vegetables,1.99,4,Credit Card
01-02-2022,frozen breaded jalapeno poppers,4.99,3,Credit Card
01-02-2022,olive oil,6.99,4,Credit Card
02-02-2022,capers,3.49,3,Debit Card
